taxa_name,latitude,longitude,year,date,precip_mm
A_austroviridis,-34.85,118.5,2000,2000-05-08,11.1
A_austroviridis,-34.85,118.5,2000,2000-05-09,0.9
A_austroviridis,-34.85,118.5,2000,2000-05-10,1.2
A_austroviridis,-34.85,118.5,2000,2000-05-11,16.3
A_austroviridis,-34.85,118.5,2000,2000-05-12,5.7
A_austroviridis,-34.85,118.5,2000,2000-05-13,0.5
A_austroviridis,-34.85,118.5,2000,2000-05-14,0.1
A_austroviridis,-34.85,118.5,2000,2000-05-15,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-16,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-17,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-18,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-19,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-20,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-21,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-22,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-23,1.7
A_austroviridis,-34.85,118.5,2000,2000-05-24,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-25,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-26,0.9
A_austroviridis,-34.85,118.5,2000,2000-05-27,0.2
A_austroviridis,-34.85,118.5,2000,2000-05-28,0.3
A_austroviridis,-34.85,118.5,2000,2000-05-29,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-30,0.0
A_austroviridis,-34.85,118.5,2000,2000-05-31,2.0
A_austroviridis,-34.85,118.5,2000,2000-06-01,0.1
A_austroviridis,-34.85,118.5,2000,2000-06-02,0.1
A_austroviridis,-34.85,118.5,2000,2000-06-03,0.1
A_austroviridis,-34.85,118.5,2000,2000-06-04,0.0
A_austroviridis,-34.85,118.5,2000,2000-06-05,0.0
A_austroviridis,-34.85,118.5,2000,2000-06-06,0.0
A_austroviridis,-34.85,118.5,2000,2000-06-07,0.0
A_austroviridis,-34.85,118.5,2001,2001-05-08,0.0
A_austroviridis,-34.85,118.5,2001,2001-05-09,0.0
A_austroviridis,-34.85,118.5,2001,2001-05-10,3.3
A_austroviridis,-34.85,118.5,2001,2001-05-11,0.5
A_austroviridis,-34.85,118.5,2001,2001-05-12,2.6
A_austroviridis,-34.85,118.5,2001,2001-05-13,19.8
A_austroviridis,-34.85,118.5,2001,2001-05-14,4.6
A_austroviridis,-34.85,118.5,2001,2001-05-15,0.0
A_austroviridis,-34.85,118.5,2001,2001-05-16,0.0
A_austroviridis,-34.85,118.5,2001,2001-05-17,0.0
